t1location...1,t1emotions_1,t1emotions_2,t1emotions_3,t1emotions_4,t1emotions_5,t1emotions_6,t1emotions_7,t1emotions_8,t1emotions_9,t1emotions_10,t1emotions_11,t1emotions_12,t1emotions_13,t1emotions_14,t1emotions_15,t1jobsa_1,t1jobstr_1,t1jobstr_2,t1jobstr_3,t1jobstr_4,t1jobstr_5,t1jobstr_6,t1jobsa_2,t1jobsa_3,t1wofa_1,t1wofa_2,t1wofa_3,t1threat_1,t1threat_2,t1threat_3,t2jobsa_1,t2jobstr_1,t2jobstr_2,t2jobstr_3,t2jobstr_4,t2jobstr_5,t2jobstr_6,t2jobsa_2,t2jobsa_3,t2threatlast_1,t2threatlast_2,t2threatlast_3,t2emotionslast_1,t2emotionslast_2,t2emotionslast_3,t2emotionslast_4,t2emotionslast_5,t2emotionslast_6,t2emotionslast_7,t2emotionslast_8,t2emotionslast_9,t2threat_1,t2threat_2,t2threat_3,t3jobsa_1,t3jobstr_1,t3jobstr_2,t3jobstr_3,t3jobstr_4,t3jobstr_5,t3jobstr_6,t3jobsa_2,t3jobsa_3,t3threatlast_1,t3threatlast_2,t3threatlast_3,t3emotionslast_1,t3emotionslast_2,t3emotionslast_3,t3emotionslast_4,t3emotionslast_5,t3emotionslast_6,t3emotionslast_7,t3emotionslast_8,t3emotionslast_9,t3threat_1,t3threat_2,t3threat_3,t1occ,t1found,t1own,t1location...83,t1age_1,t1gender,t1lang,t1edu,t1preocc,t1evcat_,t1evdes_,t1novel_,t1disrup_,t1perfo_,t1probsolv_,t1copeact1_,t1copeact2_,t1copeplan1_,t1copeplan2_,t1coperefram1_,t1coperefram2_,t1copeaccept1_,t1copeaccept2_,t1copehumor1_,t1copehumor2_,t1copeemosup1_,t1copeemosup2_,t1copeinssup1_,t1copeinssup2_,t1copedistr1_,t1copedistr2_,t1copedenial1_,t1copedenial2_,t1copevent1_,t1copevent2_,t1copediseng1_,t1copediseng2_,t1copeblame1_,t1copeblame2_,t2evcat_,t2evdes_,t2novel_,t2disrup_,t2perfo_,t2copeact1_,t2copeact2_,t2copeplan1_,t2copeplan2_,t2coperefram1_,t2coperefram2_,t2copeaccept1_,t2copeaccept2_,t2copehumor1_,t2copehumor2_,t2copeemosup1_,t2copeemosup2_,t2copeinssup1_,t2copeinssup2_,t2copedistr1_,t2copedistr2_,t2copedenial1_,t2copedenial2_,t2copevent1_,t2copevent2_,t2copediseng1_,t2copediseng2_,t2copeblame1_,t2copeblame2_,t3evcat_,t3evdes_,t3novel_,t3disrup_,t3perfo_,t3copeact1_,t3copeact2_,t3copeplan1_,t3copeplan2_,t3coperefram1_,t3coperefram2_,t3copeaccept1_,t3copeaccept2_,t3copehumor1_,t3copehumor2_,t3copeemosup1_,t3copeemosup2_,t3copeinssup1_,t3copeinssup2_,t3copedistr1_,t3copedistr2_,t3copedenial1_,t3copedenial2_,t3copevent1_,t3copevent2_,t3copediseng1_,t3copediseng2_,t3copeblame1_,t3copeblame2_,t1timebuiss
2,2,4,1,4,1,4,4,1,2,1,4,1,1,4,4,-0.3344443117518606,2,1,2,2,2,1,0.9446934152242731,0.957828879785873,NA,NA,NA,2,1,1,1.1097419040461884,2,1,1,2,4,1,0.35544703630937674,0.9244315233150806,4,3,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,0.5039526306789699,1,4,1,3,4,4,0.958651454554941,0.743037616767137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,17,1,3,4,NA,1,Rent of incubation space not reduced for non use during pandemic,1,5,2,2,3,4,4,4,3,4,4,3,2,2,4,4,4,4,3,2,1,1,1,2,1,1,2,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91
2,1,1,1,1,1,1,1,4,1,4,1,1,1,4,1,-1.496198236784639,1,1,1,1,1,1,1.427090052785604,0.957828879785873,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,30,1,3,4,NA,1,"unable to find suitable financial support to run business... as the business will generate revenues may be in 6months time 
",5,5,5,1,4,4,4,4,4,4,4,1,1,1,4,4,4,4,1,1,1,1,4,2,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1614
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8273096132809177,2,1,1,1,1,1,0.9446934152242731,1.1203364538661593,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,4,3,3,2,2,4,3,4,2,NA,NA,NA,-1.7638342073763935,2,1,1,1,1,1,0.8658787331463984,1.0774045443123486,2,3,4,2,3,3,3,3,3,3,4,4,NA,NA,NA,1,1,2,2,7,1,3,4,NA,1,Partnership proposal with a party,3,5,4,3,3,4,4,4,4,4,3,3,1,1,2,4,2,1,1,1,1,2,1,1,4,3,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8273096132809177,1,1,1,2,2,2,1.427090052785604,0.03695262666425119,NA,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,17,1,1,4,NA,1,many mistakes done especially in Operation,4,5,5,4,4,4,4,4,4,4,4,4,1,1,3,3,4,2,1,1,4,2,1,1,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400
2,5,4,4,4,5,5,3,5,3,3,1,4,5,5,3,-0.3344443117518606,2,1,1,2,3,2,1.2823710615172048,-2.2381534104597556,NA,NA,NA,5,5,3,-1.9975354272831385,3,3,4,3,4,4,1.1098266506042778,0.023825554724615394,5,5,5,5,5,5,5,5,5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,3,1,3,4,NA,1,Web developer cheated me a i don’t have enough technical knowledge,6,5,5,4,4,4,4,3,1,1,3,1,2,1,4,3,4,4,3,3,1,1,2,3,1,1,3,3,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-212
2,1,2,3,3,1,3,4,4,3,3,4,4,4,3,3,0.8273096132809177,2,1,1,1,1,1,-0.9848931350210511,-0.6130776696568936,NA,NA,NA,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,19,1,3,4,NA,1,clients are not paying on time,5,4,4,4,3,3,3,4,4,3,4,4,3,3,3,2,4,3,3,3,2,2,2,3,3,3,2,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1339
2,1,3,1,1,1,3,5,1,1,1,1,2,3,1,1,0.8273096132809177,1,1,2,2,2,1,0.1246191313700103,-0.5047392869367028,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,1,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,1,2,4,2,1,NA,NA,NA,3,1,1,2,5,2,1,4,NA,1,"Firstly, appointing the right person for a particular job. I appointed a designer for my logo designing and liked her work too and paid her but exactly 3 days later found someone with whom I wished I could have asked him to design the logo for my company. Maybe his skills and talent would get me a unique one but to manage everything in the budget is a task for my startup. Can't explore options as I want to but yes with time I shall. 
Same is with other jobs as well..but this doesn't stop my work but just more explorations and contacts could have make few works of mine exceptional.",3,2,4,3,4,4,4,4,3,4,4,3,1,2,1,1,3,2,1,1,1,1,2,1,1,1,2,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-242
2,4,4,3,4,4,4,1,4,1,1,1,1,1,1,1,0.8273096132809177,2,1,1,2,2,1,0.7034950964436075,0.1994602007445374,NA,NA,NA,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,4,3,1,1,1,2,1,1,NA,NA,NA,0.5039526306789699,2,2,1,1,2,2,1.097810536667755,0.8544932592822075,4,4,3,2,2,2,4,2,2,4,4,2,3,4,1,1,1,2,2,6,1,1,4,NA,1,Running Out of Working capital due to less revenue.,1,5,5,3,4,4,4,4,4,4,4,1,1,1,1,2,2,1,1,1,1,2,4,2,1,1,2,3,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Raw Material Purchase and Salaries maintenance are tough due to lack of revenue.,2,5,5,4,4,4,4,4,4,4,1,1,1,2,1,2,2,1,1,1,1,1,1,1,4,2,2,-122
2,4,1,1,4,1,4,1,1,1,1,4,1,4,1,1,0.8273096132809177,1,1,1,1,3,3,0.2210984588822765,1.0661672625060639,NA,NA,NA,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,11,2,3,4,NA,1,small team,5,4,4,2,3,3,2,4,4,2,2,2,1,1,1,1,3,2,2,2,1,1,1,1,1,1,2,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366
2,2,3,1,1,4,1,2,1,1,1,1,1,1,1,1,0.8273096132809177,1,1,1,2,1,2,0.462296777662942,0.8494904970656822,NA,NA,NA,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,1,1,1,1,4,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,1,2,2,1,4,1,1,NA,NA,NA,3,1,2,2,8,1,3,4,NA,1,Our primary production machine suffered a break down due to unforeseen circumstances. The replacement part had to be shipped from the manufacturer (spare part was not handy and cannot be bought locally) affecting loss of time and decrease in productivity.,1,5,4,5,4,4,2,2,4,3,3,1,1,1,2,2,2,3,3,2,1,1,1,1,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366
2,1,3,3,1,1,1,5,1,3,1,1,1,1,1,1,-1.496198236784639,1,1,1,2,3,2,0.9446934152242731,0.03695262666425119,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,9,2,3,4,NA,1,The machine to make the product is too expensive.,2,5,4,3,4,4,4,4,3,3,3,1,2,1,2,3,4,4,3,3,1,1,1,2,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-334
2,4,4,1,3,1,4,4,5,1,2,1,1,1,4,1,0.8273096132809177,1,1,1,2,2,2,1.427090052785604,1.0119980711459684,NA,NA,NA,4,5,5,1.1097419040461884,1,1,1,2,2,1,1.0701224603782302,0.7743305285500031,4,4,4,1,3,1,1,1,1,1,3,1,NA,NA,NA,0.5039526306789699,1,1,1,2,2,1,1.097810536667755,0.9659489017972781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,27,2,1,4,NA,1,Managing Cash Flow,5,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,1,4,3,2,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
2,1,4,1,2,1,1,2,1,3,3,3,3,3,4,4,0.8273096132809177,2,1,2,1,1,2,0.462296777662942,0.03695262666425119,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,4,3,3,2,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,19,1,3,4,NA,1,We are unable to raise money to promote our product in the market.,5,5,5,2,4,4,3,4,4,4,4,4,2,1,3,3,2,2,2,2,1,1,1,1,1,1,2,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336
2,1,1,1,1,1,1,2,2,4,1,3,2,1,1,2,0.8273096132809177,2,1,2,1,3,2,-0.06833952365452213,-0.5047392869367028,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,13,1,3,4,NA,1,"We had ordered our Unit to the client to fabricate before the lockdown of COVID-19 in the month of March he had completed 90% work. In the month of July Govt has unlocked the lockdown so we had approached to the vendor to complete the remaining work, as we had paid all payment in the month of March so he was trying to avoid us to delay work as he was busy in his new deals.",3,4,3,4,2,2,4,4,4,4,4,2,1,1,1,3,2,2,2,3,2,1,2,1,1,1,3,3,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-365
2,2,2,2,2,2,4,2,4,2,1,4,2,4,4,4,-0.3344443117518606,3,1,2,2,2,2,-1.5637691000946483,-0.3422317128564166,NA,NA,NA,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,14,1,3,4,NA,1,"Lack of funds to run operations regularly, paying salaries & office rent",4,5,5,1,4,4,4,4,4,4,4,4,1,1,2,2,3,2,1,2,1,1,1,2,2,1,2,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458
2,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,-0.3344443117518606,2,1,1,2,2,4,1.0411727427365394,0.3077985834647282,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,5,1,4,1,4,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,5,1,1,1,2,3,1,1,NA,NA,NA,3,1,2,2,5,2,3,4,NA,1,"Problems regarding the procurement of raw material, the Latex of euphorbia royleana plants, which was hazardous to extract.",4,2,2,5,2,4,3,3,4,4,3,2,1,3,2,1,2,2,3,1,1,1,2,1,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,0.8273096132809177,3,3,3,3,3,3,-0.454256833703587,-1.1547695832578477,NA,NA,NA,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,22,1,3,4,NA,1,"DUe to COVID, there is a rate increase of almost all raw material and logistic cost.",1,5,5,2,4,4,4,4,4,3,3,3,1,1,2,3,4,2,3,3,3,2,3,4,2,2,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428
2,1,4,5,3,4,4,4,4,1,1,1,1,1,1,1,0.8273096132809177,2,1,2,3,2,2,1.2823710615172048,0.8494904970656822,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,2,26,2,3,4,NA,1,Health related matters of personal and family.,4,4,5,4,3,3,3,2,4,4,4,2,4,4,4,4,4,4,3,3,1,1,2,1,1,1,2,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2435
2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0.8273096132809177,1,1,1,1,1,1,1.378850389029471,1.1203364538661593,NA,NA,NA,1,1,1,1.1097419040461884,1,1,1,1,1,1,1.1098266506042778,0.874397858393388,1,4,2,2,1,2,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,12,1,1,4,NA,1,The client had internal communication issues and asked us to provide more material than agreed upon.,1,2,1,5,2,2,3,2,2,3,4,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213
