t1location...1,t1emotions_1,t1emotions_2,t1emotions_3,t1emotions_4,t1emotions_5,t1emotions_6,t1emotions_7,t1emotions_8,t1emotions_9,t1emotions_10,t1emotions_11,t1emotions_12,t1emotions_13,t1emotions_14,t1emotions_15,t1jobsa_1,t1jobstr_1,t1jobstr_2,t1jobstr_3,t1jobstr_4,t1jobstr_5,t1jobstr_6,t1jobsa_2,t1jobsa_3,t1wofa_1,t1wofa_2,t1wofa_3,t1threat_1,t1threat_2,t1threat_3,t2jobsa_1,t2jobstr_1,t2jobstr_2,t2jobstr_3,t2jobstr_4,t2jobstr_5,t2jobstr_6,t2jobsa_2,t2jobsa_3,t2threatlast_1,t2threatlast_2,t2threatlast_3,t2emotionslast_1,t2emotionslast_2,t2emotionslast_3,t2emotionslast_4,t2emotionslast_5,t2emotionslast_6,t2emotionslast_7,t2emotionslast_8,t2emotionslast_9,t2threat_1,t2threat_2,t2threat_3,t3jobsa_1,t3jobstr_1,t3jobstr_2,t3jobstr_3,t3jobstr_4,t3jobstr_5,t3jobstr_6,t3jobsa_2,t3jobsa_3,t3threatlast_1,t3threatlast_2,t3threatlast_3,t3emotionslast_1,t3emotionslast_2,t3emotionslast_3,t3emotionslast_4,t3emotionslast_5,t3emotionslast_6,t3emotionslast_7,t3emotionslast_8,t3emotionslast_9,t3threat_1,t3threat_2,t3threat_3,t1occ,t1found,t1own,t1location...83,t1age_1,t1gender,t1lang,t1edu,t1preocc,t1evcat_,t1evdes_,t1novel_,t1disrup_,t1perfo_,t1probsolv_,t1copeact1_,t1copeact2_,t1copeplan1_,t1copeplan2_,t1coperefram1_,t1coperefram2_,t1copeaccept1_,t1copeaccept2_,t1copehumor1_,t1copehumor2_,t1copeemosup1_,t1copeemosup2_,t1copeinssup1_,t1copeinssup2_,t1copedistr1_,t1copedistr2_,t1copedenial1_,t1copedenial2_,t1copevent1_,t1copevent2_,t1copediseng1_,t1copediseng2_,t1copeblame1_,t1copeblame2_,t2evcat_,t2evdes_,t2novel_,t2disrup_,t2perfo_,t2copeact1_,t2copeact2_,t2copeplan1_,t2copeplan2_,t2coperefram1_,t2coperefram2_,t2copeaccept1_,t2copeaccept2_,t2copehumor1_,t2copehumor2_,t2copeemosup1_,t2copeemosup2_,t2copeinssup1_,t2copeinssup2_,t2copedistr1_,t2copedistr2_,t2copedenial1_,t2copedenial2_,t2copevent1_,t2copevent2_,t2copediseng1_,t2copediseng2_,t2copeblame1_,t2copeblame2_,t3evcat_,t3evdes_,t3novel_,t3disrup_,t3perfo_,t3copeact1_,t3copeact2_,t3copeplan1_,t3copeplan2_,t3coperefram1_,t3coperefram2_,t3copeaccept1_,t3copeaccept2_,t3copehumor1_,t3copehumor2_,t3copeemosup1_,t3copeemosup2_,t3copeinssup1_,t3copeinssup2_,t3copedistr1_,t3copedistr2_,t3copedenial1_,t3copedenial2_,t3copevent1_,t3copevent2_,t3copediseng1_,t3copediseng2_,t3copeblame1_,t3copeblame2_,t1timebuiss
2,2,2,2,2,2,3,2,3,3,1,2,1,2,2,3,-0.3344443117518606,2,1,1,2,2,2,-1.4672897725823821,-2.1298150277395647,NA,NA,NA,1,1,1,-0.4438967616184751,3,2,1,4,4,4,-1.4709457140888045,-1.777386382456315,3,4,2,3,4,1,2,2,3,2,2,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,8,1,3,4,NA,1,Final investment meeting,3,2,4,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,Runway,6,5,5,4,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,1,1,3,3,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489
2,5,4,3,1,4,3,2,5,1,3,1,1,1,1,2,0.8273096132809177,1,1,1,2,2,1,0.9929330789804062,-1.1547695832578477,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,5,1,1,1,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,15,1,3,4,NA,1,My appraisals were out and I have got a bad rating instead of my efforts trying a new skill altogether for the company,1,3,2,1,1,1,1,1,1,1,4,4,1,1,2,2,1,1,3,3,1,1,2,3,2,2,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122
2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3344443117518606,1,NA,NA,NA,NA,NA,-0.2612981786790545,-0.5047392869367028,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,14,1,3,4,NA,1,We use to eukalyptus leaves to extaract oil from it which are the waste part of the eukalyptus tree.After the extraction of oil the leaves of eukalyptus  is use as a fuel in brick bhataa's which supplied by tractor.The cost of tracter and trolly is approx 6 to 7 lakhs.,5,4,3,1,3,3,2,2,2,2,2,2,1,1,3,4,2,2,1,2,1,1,1,1,2,2,2,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254
2,2,4,1,1,1,2,3,1,1,1,1,1,1,1,2,-0.3344443117518606,2,1,1,2,3,2,-0.50249649745972,0.6328137316253006,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,17,1,3,4,NA,1,"Not having a tech team, currently we are working with a single tech personnel",1,5,4,3,3,4,3,3,4,4,3,1,1,1,3,3,4,4,1,1,1,1,1,2,1,1,2,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122
2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,0.8273096132809177,2,1,1,1,1,2,0.462296777662942,0.5786445402652052,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,1,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,32,1,3,4,NA,1,"I have designed a PCB using EASYEDA cloud for product prototyping, and the delivery is still pending, as shipping from china have certain issues from JLCPCB so prototype release is delayed now",1,1,3,5,4,4,4,4,4,4,4,4,1,1,3,3,4,4,3,3,3,1,3,1,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-273
2,4,3,4,1,1,3,4,3,3,1,2,2,3,2,3,0.8273096132809177,2,1,2,1,1,1,1.1858917340049386,-0.23389333013622582,NA,NA,NA,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,14,1,3,4,NA,1,There was some misunderstanding between co-founders but it has been solved through exchange of dialogue.,2,4,3,5,3,4,3,2,4,2,3,2,2,1,3,3,2,3,1,3,1,1,1,1,1,1,3,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609
2,4,1,1,2,5,4,4,1,3,3,1,1,1,1,3,0.8273096132809177,2,1,1,2,2,1,0.462296777662942,1.1203364538661593,NA,NA,NA,1,4,2,1.1097419040461884,2,1,1,3,2,1,-0.4386367682115716,-0.026208110197077115,4,3,2,2,1,1,1,1,1,4,2,3,4,4,2,0.5039526306789699,1,1,1,2,2,1,-0.7576438915030982,-0.5944300934137097,4,4,4,4,1,1,1,1,4,1,1,1,NA,NA,NA,1,1,2,2,8,2,3,4,NA,1,Due to lack of proper guidance and support we face difficulty in dealing with clients and making strategy to grow our business.,4,5,4,4,4,3,4,4,3,3,4,3,1,1,3,3,4,2,1,1,1,1,1,1,4,3,1,1,1,Pro-active team members can't manage their time and lack motivation.,4,4,4,3,3,4,4,4,2,4,3,1,1,3,2,4,2,1,1,2,3,1,3,1,1,2,3,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-334
2,3,4,1,1,2,2,4,1,1,3,2,3,2,3,3,-0.3344443117518606,2,1,1,2,2,2,-0.9848931350210511,-0.5047392869367028,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,11,1,1,5,NA,1,Issues on difference of opinion on product development among the founders,4,3,4,4,3,3,2,2,3,3,4,1,1,1,2,2,3,3,2,2,1,1,2,2,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640
2,2,4,1,1,1,2,2,2,1,1,1,1,1,1,1,-0.3344443117518606,1,1,1,2,1,2,0.7999744239558738,-0.9922620091775615,NA,NA,NA,1,1,1,-0.4438967616184751,1,1,1,2,1,2,0.27603865585728193,-0.27637643480553964,3,4,1,1,4,3,1,1,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,30,1,1,4,NA,1,Material selection is undergoing some serious audits and we were caught unawares on the material gaps and are currently fixing the issue - hands-on,1,4,4,4,4,4,3,4,3,4,3,2,1,1,3,1,2,2,2,1,1,1,1,1,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,9,1,1,3,NA,1,lin.,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8273096132809177,1,1,1,1,1,1,-0.9848931350210511,-2.942352898140996,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,16,1,3,4,NA,1,"As we have been operating a niche market with limited players over a period of 12 years. the customer understanding of technology and its pricing has been bleak , but trust has kept the business going. The business kept on improving as the customers provided us with more penetration with our technology products into their ecosystem. But, over a period of 12 years the market size of the education services that our customers provide shrunk at least 50 percent. All kinds of trust not only with us but every other vendor , department heads and employees started wavering. As the revenues shrunk 50 percent, but the customers agenda kept on to squeeze the same services at the lower costs as their perspective being of being overcharged. And also being to regain market share they need the same quality of services. But for us it has not been possible to provide the same services at lower costs. We kept on holding for past 4 years as we were getting a volume of business. But slowly the costs kept on taking a toll and we have understood that if we gave same quality of services double cost was required as we have already dented and squeezed our startup to unbearable extent in 4 years . Hence we started pushing for cost hikes, which our customers took all measures to pull down. At the end all our relationships have broken and we need to search for new market arenas for our superior products .",1,5,2,1,4,4,4,4,4,4,4,4,2,2,4,4,1,1,3,3,1,1,1,2,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3653
2,1,2,2,4,2,3,1,2,1,1,1,1,1,2,1,0.8273096132809177,1,1,2,2,1,2,-0.020099859898389024,-0.125554947416035,NA,NA,NA,4,4,4,-0.4438967616184751,2,1,2,1,2,2,-0.04159486595109743,0.22396021441138544,3,3,2,2,4,4,2,2,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,27,1,3,4,NA,1,Currently we are working on our app and web development and we contacted many vendor and one  vendor has agreed but end time they increase their charges which we couldn't pay and we have to again start the process of identifying vendors,1,5,5,5,4,4,3,3,3,4,3,1,1,1,1,2,3,3,3,2,2,1,3,1,1,1,2,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-181
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8273096132809177,1,1,1,1,1,1,1.427090052785604,0.8494904970656822,NA,NA,NA,3,1,1,1.1097419040461884,1,1,1,2,2,1,1.149530840830325,-0.22634276988384716,4,2,2,1,5,1,4,1,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,27,2,3,6,NA,1,"Our head of sales and procurement met with an accident and is indisposed. This happened when my husband was in hospital while down with COVID 19. I was already preoccupied with that and his accident created a void in the team and this happened while procurement season is about to start. However, we have built certain redundancy and junior members of the team could shoulder the responsibility.",1,3,4,5,4,4,4,2,4,3,4,4,1,2,4,4,4,4,1,2,1,1,1,1,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,974
2,4,1,1,1,2,4,1,2,1,1,3,4,3,2,1,0.8273096132809177,1,1,2,2,1,1,0.462296777662942,0.5244753489051098,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,4,4,3,3,3,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,12,2,3,4,NA,1,I was at the store front & customers came with a bad mood. I was polite with her & greet her as i usually do but she act with me rudely & speak with me in bad words.,1,1,3,4,2,2,4,3,3,4,3,2,2,2,1,2,2,2,2,3,1,1,3,2,2,3,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762
2,1,1,1,1,1,2,2,1,1,1,4,1,1,1,1,-1.496198236784639,1,1,1,1,1,1,0.9446934152242731,0.5786445402652052,NA,NA,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,10,1,3,4,NA,1,COVID crises,1,2,4,2,2,2,2,2,3,3,4,3,3,4,3,3,3,3,4,3,1,1,1,2,3,3,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428
2,1,4,1,4,1,1,5,4,2,2,5,2,4,4,4,-0.3344443117518606,2,2,2,2,2,2,0.5105364414190752,0.3619677748248236,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,48,1,1,4,NA,1,I'm looking for funds,4,5,5,1,4,4,4,4,4,4,4,4,1,1,4,3,2,2,3,4,1,NA,1,1,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609
2,1,3,1,5,1,2,2,2,2,1,1,1,1,1,2,0.8273096132809177,2,2,1,3,4,2,0.462296777662942,0.5786445402652052,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,1,1,1,4,1,1,1,1,1,NA,NA,NA,0.5039526306789699,1,1,1,3,4,4,-0.29378028446038484,-0.14860752335342747,4,5,4,1,1,1,4,1,1,1,1,1,NA,NA,NA,1,1,2,2,6,1,3,4,NA,1,We have completed the product design and done the testing phase and we have got the result of the test. it has been very difficult to get the corrected product for more testing and launching.,4,5,5,3,4,4,4,4,4,4,4,3,1,1,4,4,4,4,2,1,1,1,1,3,1,1,4,3,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
2,4,4,3,3,2,4,1,4,4,1,1,1,1,1,1,-0.3344443117518606,2,2,2,2,1,1,1.0894124064926725,0.5244753489051098,NA,NA,NA,3,2,4,1.1097419040461884,1,1,2,2,2,1,0.47455960698751903,0.4240948740981555,4,1,3,3,1,1,1,4,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,5,1,1,4,NA,1,"As we provide 1 on 1 live online tuitions on our platform, One of our client faced some kind of problem with the faculty allotted to their child.",1,5,4,5,4,4,3,3,4,3,2,4,1,1,3,3,3,3,3,3,1,1,1,3,1,1,2,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-153
2,4,5,2,3,2,5,2,3,3,4,1,1,1,2,2,0.8273096132809177,2,2,2,3,4,2,-1.9014467463875802,-2.563168558620328,NA,NA,NA,1,3,2,-0.4438967616184751,2,2,1,4,4,3,-0.7959744802459984,-1.5772517227695448,2,4,3,4,4,2,2,4,4,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,10,1,3,4,NA,1,"Due to critical timelines we are facing difficulties in getting product delivered on time, due to which internal conflicts are occurring",4,4,5,5,3,3,4,3,2,3,2,3,2,1,2,2,3,2,1,3,1,1,2,2,3,3,4,3,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
2,4,3,3,1,3,5,1,4,2,4,2,1,3,2,3,0.8273096132809177,2,1,1,3,4,2,0.028139803857744082,-1.3714463486982293,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,9,1,3,4,NA,1,"There was a meeting scheduled at 3'o clock on Monday, I reached the venue at 2:50 and the client neither responded my calls nor did he show up. I felt cheated after investing so much of my time for the requirement analysis. making PPTs for him and in the end, he didn't bother to even pick up my calls.",2,4,2,1,3,3,4,4,3,3,4,4,1,1,3,3,2,2,1,2,1,1,1,2,1,1,1,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366
